sample,field,tillage,irrigation,year,total.fame,actinomycete.67,actinomycete.83,actinomycete.85,actinomycete.99,actinomycete.105,actinomycete.119,g.minus.78,g.minus.100,g.minus.116,g.minus.117,g.plus.21,g.plus.22,g.plus.35,g.plus.37,g.plus.52,g.plus.53,g.plus.72,g.plus.73,g.plus.109,g.plus.111,amf.58,sap.fungi.87,sap.fungi.88,sap.fungi.89,sap.fungi.90,sap.fungi.91,sap.fungi.92,sap.fungi.93,sap.fungi.94,sap.fungi.95,euk.protozoa,BactSum,FungSum,FBRatio,GPosSum,GNegSum,ActSum
RN 4,RN1,no,yes,2017,,14.602,2.457,2.203,1.788,3.76,0,3.927,0.289,0,8.317,2.406,0.162,16.13,9.632,8.571,0.685,4.885,5.275,2.798255727,0.434,20.136,0,2.011,0,24.97,29.059,0,30.698,0,5.82,3.585,88.32125573,112.694,1.27595559,50.97825573,12.533,24.81
RN 5,RN1,no,no,2017,,12.938,2.174,1.662,1.423,2.795,0,3.108,0.435,0,6.739,1.646,0.075,13.737,7.76,6.692,0.595,4.165,4.362,2.226377816,0.364,18.976,0,1.737,0.333,13.586,24.893,0,27.826,0,4.948,2.952,72.89637782,92.299,1.266167164,41.62237782,10.282,20.992
RN 6,RN1,no,no,2017,,8.744,1.395,1.313,1.013,2.277,0,2.21,0.352,0,4.862,1.097,0.056,8.987,5.477,4.755,0.417,2.888,3.079,1.648325881,0.571,13.085,0,1.334,0.303,8.249,18.109,0,17.724,0,5.083,4.863,51.14132588,63.887,1.249224554,28.97532588,7.424,14.742
TG 1,TG1,yes,no,2017,,9.077,1.949,1.094,0.923,1.902,0,2.125,0.364,0,5.278,0.814,0,8.207,4.507,3.967,0.367,2.783,2.957,1.390274988,0.314,11.483,0.474,0.701,0.289,11.204,18.6,0,17.711,0,2.83,1.806,48.01827499,63.292,1.318081502,25.30627499,7.767,14.945
TG 2,TG1,yes,no,2017,,9.013,1.625,1.341,1.126,2.305,0,2.162,0.57,0,5.323,0.901,0,8.842,4.973,4.165,0.374,2.917,3.137,1.490504788,0.56,7.524,0.51,0.735,0.314,12.135,22.95,0,15.772,0,2.857,1.92,50.82450479,62.797,1.235565408,27.35950479,8.055,15.41
TG 3,TG1,yes,yes,2017,,7.449,1.089,0.881,0.891,1.692,0,1.89,0.407,0,4.612,0.809,0,7.907,4.312,3.427,0.318,2.598,2.632,1.483836419,0.458,13.996,0.481,0.584,0.249,9.48,17.116,0,36.061,0,2.748,2.413,42.85583642,80.715,1.883407413,23.94483642,6.909,12.002
TG 4,TG1,yes,yes,2017,,7.451,1.055,0.978,0.786,1.523,0,1.973,0.182,0,4.668,0.825,0,8.174,4.246,3.535,0.365,2.591,2.623,1.585159668,0.42,12.033,0.547,0.585,0.425,11.823,18.951,0,21.603,0,2.579,1.95,42.98015967,68.546,1.594828882,24.36415967,6.823,11.793
RN 1,RN1,no,yes,2017,,9.053,1.796,1.255,0.831,1.876,0,1.945,0.219,0,4.539,0.805,0,8.438,4.816,4.317,0.358,2.833,2.939,1.36397324,0.212,12.829,0,1.084,0.242,8.137,15.848,0,17.702,0,3.101,2.507,47.59597324,58.943,1.238403083,26.08197324,6.703,14.811
RN 2,RN1,no,yes,2017,,7.293,2.358,0.915,0.584,1.553,0,1.448,0.119,0,4.135,0.56,0,5.543,3.063,3.219,0.314,2.129,2.188,0.931267377,0.512,12.682,0.549,0.659,0.167,4.312,11.379,0,11.536,0,2.083,2.001,36.86426738,43.367,1.176396632,18.45926738,5.702,12.703
RN 3,RN1,no,yes,2017,,9.067,2.116,0.95,0.667,1.717,0,1.713,0.15,0,4.575,0.669,0,7.236,3.857,3.702,0.389,2.664,2.695,1.269409721,0.329,14.371,0.518,0.713,0.208,6.969,13.699,0,12.048,0,2.526,2.143,43.76540972,51.052,1.166491993,22.81040972,6.438,14.517
