sample,texture,pHw,pHb,P,K,Mg,Ca,S1,B1,Zn1,Mn1,Fe1,Cu1,CEC,K2,Mg2,Ca2,H,OM,no3.ppm,nh4.ppm,
CK 93,clay loam,6.6,7.65,169,1581,1674,4989,35,2.08,8.17,368,100,4.66,24.27,8.35,28.73,51.38,11.53,1.76,16.36,2.55,
CK 94,clay loam,7.2,7.75,62,1267,1593,4381,31,2.07,6.05,352,100,4.4,21.21,7.65,31.28,51.62,9.42,1.53,113.91,2.28,
CK 95,clay loam,7,7.65,40,1098,1627,4807,32,2.12,6.27,386,120,4.51,23,6.11,29.46,52.24,12.17,1.61,12.19,1.66,
CK 96,clay loam,7.1,7.7,40,1124,1405,4918,27,2.18,5.5,406,76,4.73,21.99,6.55,26.62,55.91,10.91,1.69,20.1,2.16,
KK 73,sandy loam,7.4,7.85,225,914,897,2398,19,1.97,24.35,121,93,1.92,12.1,9.68,30.87,49.52,9.91,1.01,40.12,1.95,
KK 74,sandy loam,7.4,7.85,150,937,1020,2629,22,2.24,24.66,141,80,2.27,13.22,9.08,32.13,49.7,9.07,1.13,4.41,1.47,
KK 75,sandy loam,7.2,7.8,197,927,1170,3163,27,2.68,31.11,133,91,2.95,15.57,7.63,31.3,50.78,10.27,1.65,4.21,1.42,
KK 76,sandy loam,7.3,7.8,139,825,949,2518,22,2.48,30.93,133,88,2.32,12.9,8.19,30.63,48.77,12.39,1.01,9.8,1.93,
KK 77,sandy loam,6.1,7.75,224,742,684,2100,33,1.18,25.72,151,125,2.54,11.05,8.6,25.78,47.5,18.09,0.84,8.13,1.39,
KK 78,sandy loam,7,7.8,173,1186,830,2306,29,1.93,26.02,146,89,2.53,12.34,12.31,28.01,46.7,12.96,1.12,25.72,1.46,
KK 79,sandy loam,7.1,7.8,163,1084,902,2585,31,2,21.67,151,79,3.03,13.21,10.51,28.44,48.91,12.11,1.13,28.39,1.18,
KK 80,sandy loam,6.9,7.8,233,1041,764,2251,39,1.7,26.16,135,88,2.52,11.74,11.36,27.1,47.91,13.62,1.16,23.82,1.63,
KK 81,sandy loam,8.1,7.85,169,1288,923,2898,20,2.2,18.3,226,86,2.81,13.94,11.84,27.58,51.96,8.6,0.83,34.27,1.65,
KK 82,sandy loam,8.1,7.9,185,1080,943,3091,21,2.29,22.09,229,86,3.12,13.84,10,28.38,55.82,5.77,0.86,2.36,3.36,
KK 83,sandy loam,7.8,7.85,240,1202,896,2954,27,2.25,24.9,226,87,2.78,13.85,11.11,26.93,53.28,8.65,0.97,3.11,1.53,
KK 84,sandy loam,8.1,7.85,270,1260,966,3449,25,2.57,21.03,214,85,2.8,15.46,10.44,26.03,55.76,7.76,1,8.13,2.13,
JA 109,sand,8.2,7.9,129,909,717,2440,19,3.48,13.82,96,100,2.14,11.05,10.54,27.02,55.18,7.23,0.45,7.03,1.64,
JA 110,sand,8.5,7.95,90,972,800,6488,21,3.46,18.8,95,74,2.77,21.19,5.87,15.72,76.51,1.88,0.48,6.26,0.79,
JA 111,sand,8.1,7.9,66,729,696,2421,16,2.55,8.41,90,87,2.33,10.68,8.74,27.13,56.63,7.48,0.37,4.05,1.47,
JA 112,sand,8,7.9,105,662,612,2097,17,2.21,16.22,79,84,3.5,9.44,8.98,27,55.52,8.47,0.42,2.74,1.2,
JA 113,loamy sand,7.3,7.85,34,666,752,2046,127,2.36,2.27,96,75,1.73,10.3,8.28,30.41,49.64,11.64,0.4,9.71,1.06,
JA 114,loamy sand,7.6,7.85,44,721,774,2558,24,2.22,1.49,112,72,1.91,11.74,7.87,27.45,54.45,10.21,0.59,3.34,1.24,
JA 115,loamy sand,7.5,7.8,49,479,746,2086,17,2.02,1.3,107,72,1.86,10.53,5.82,29.49,49.49,15.18,0.41,2.08,2.77,
JA 116,loamy sand,7.1,7.9,64,762,768,2318,199,2.35,6.11,98,83,2.35,10.77,9.06,29.7,53.79,7.42,0.49,38.51,1.1,
JA 117,loamy sand,8.2,7.9,52,504,284,3378,12,1.1,0.93,84,82,1.8,11.07,5.83,10.68,76.25,7.22,0.33,2.01,1.35,
